--- 語音逐字稿 (語言: en) ---
[0.00s -> 10.26s]  Mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm
[934.80s -> 936.80s]  脸上的嘟嘟肉
[936.80s -> 938.80s]  就像你这样
[938.80s -> 940.80s]  捏住
[940.80s -> 942.80s]  很有肉的
[942.80s -> 944.80s]  很有肉感
[944.80s -> 946.80s]  我喜欢捏女孩的脸
[946.80s -> 948.80s]  捏住
[948.80s -> 950.80s]  捏住嘟嘟的
[950.80s -> 952.80s]  感觉很好
[952.80s -> 954.80s]  所以说
[954.80s -> 956.80s]  不要追求拥有
[956.80s -> 958.80s]  拥有的结果
[958.80s -> 960.80s]  我往后就给你带来
[960.80s -> 962.80s]  这个效果
[962.80s -> 964.80s]  没事给顾客看一下
[964.80s -> 966.80s]  她都吓得要死
[966.80s -> 968.80s]  她都问你
[968.80s -> 970.80s]  这是不是低价格带来的后关
[970.80s -> 972.80s]  太严重了
[972.80s -> 974.80s]  而且现在很可怕
[974.80s -> 976.80s]  市场上很多
[976.80s -> 978.80s]  高房的瑞兰
[978.80s -> 980.80s]  高房的乔雅
[980.80s -> 982.80s]  100 我不知道也没有高房
[982.80s -> 984.80s]  但我估计略定
[984.80s -> 986.80s]  现在很可怕
[986.80s -> 988.80s]  有高房的教育蛋
[988.80s -> 990.80s]  太严重了
[990.80s -> 992.80s]  整个人的理由
[992.80s -> 994.80s]  没法看好重的那
[994.80s -> 996.80s]  非常的严重
[996.80s -> 998.80s]  在晚上可以收到那个视频
[998.80s -> 1000.80s]  你可以看
[1000.80s -> 1002.80s]  所以说
[1002.80s -> 1004.80s]  永远不要去追求低价格
[1004.80s -> 1006.80s]  低价格办事的一定是高房
[1006.80s -> 1008.80s]  低价格的高房
[1008.80s -> 1010.80s]  低价格的高房
[1010.80s -> 1012.80s]  低价格的高房
[1012.80s -> 1014.80s]  低价格的高房
[1014.80s -> 1016.80s]  低价格作为
[1016.80s -> 1018.80s]  偷工
[1018.80s -> 1020.80s]  你把话说了
[1020.80s -> 1022.80s]  每一天是全房位的
[1022.80s -> 1024.80s]  每天 你全房位
[1024.80s -> 1026.80s]  所以说
[1026.80s -> 1028.80s]  这个我挺想笑
[1028.80s -> 1030.80s]  你也是肌膚
[1030.80s -> 1031.80s]  如果说这么给你的媳妇
[1031.80s -> 1032.80s]  你要吗
[1032.80s -> 1034.80s]  这媳妇给你
[1034.80s -> 1036.80s]  你要吗
[1036.80s -> 1038.80s]  他就够了
[1038.80s -> 1040.80s]  要不?
[1040.80s -> 1042.80s]  要
[1042.80s -> 1044.80s]  你要吗
[1046.80s -> 1051.80s]  如果说要不要去愿意什么?去愿意你的实力怎么样?
[1051.80s -> 1053.80s]  如果穷的丁弹响了还是要了吧?
[1053.80s -> 1054.80s]  总算是个媳妇儿
[1054.80s -> 1057.80s]  公司总盖住这个全南南人的这些人
[1057.80s -> 1060.80s]  所以说美丽是一定是全方位的
[1060.80s -> 1063.80s]  胸大性可贵,腰体加更高
[1063.80s -> 1065.80s]  若是脸是训练的这个套位
[1065.80s -> 1068.80s]  所以说永远是整容先整脸
[1068.80s -> 1069.80s]  脸形是种脸
[1069.80s -> 1070.80s]  脸才是最重要的
[1070.80s -> 1073.80s]  否则的话,脸是这样的红白
[1073.80s -> 1076.80s]  脸也要
[1076.80s -> 1078.80s]  鼻尾五官之王,眼尾五官之神
[1078.80s -> 1080.80s]  眉尾五官之魂
[1080.80s -> 1082.80s]  春尾五官之灵
[1082.80s -> 1084.80s]  眉皮目就春有情
[1084.80s -> 1086.80s]  才能瞬间变女神
[1086.80s -> 1089.80s]  所以说这是关于双眼皮
[1089.80s -> 1091.80s]  等于是你应该看一下
[1091.80s -> 1093.80s]  看到的眼睛
[1093.80s -> 1095.80s]  双眼皮,有双眼皮跟双眼皮
[1095.80s -> 1096.80s]  绝对是这样的
[1096.80s -> 1097.80s]  对吧,你看有的时候
[1097.80s -> 1099.80s]  跟你就坐一个双眼皮
[1099.80s -> 1101.80s]  不要再犹豫了
[1102.80s -> 1104.80s]  所以说眼尾五官之神
[1104.80s -> 1106.80s]  你坐完就特别有神
[1107.80s -> 1109.80s]  因此有人会说
[1109.80s -> 1111.80s]  世界那么大我要去看看
[1111.80s -> 1112.80s]  你肯定去
[1112.80s -> 1114.80s]  眼睛那么小,你能看见啥
[1116.80s -> 1117.80s]  然后副导师说
[1117.80s -> 1119.80s]  是呀,你都看见错了
[1120.80s -> 1121.80s]  所以说
[1121.80s -> 1123.80s]  不要究解医生的成本是多少
[1123.80s -> 1124.80s]  画家卖的
[1124.80s -> 1126.80s]  画家卖的不是染料
[1126.80s -> 1127.80s]  而是艺术
[1127.80s -> 1128.80s]  医生卖的不是产品
[1128.80s -> 1129.80s]  而是技术
[1129.80s -> 1131.80s]  给你个家庭,能自己塞进去吗
[1131.80s -> 1132.80s]  给你
[1132.80s -> 1133.80s]  给你注射
[1133.80s -> 1134.80s]  给你的副导师
[1134.80s -> 1135.80s]  能自己打吗
[1135.80s -> 1136.80s]  打得出来那个效果吗
[1136.80s -> 1137.80s]  所以说
[1137.80s -> 1138.80s]  还问人,还跟人家讲
[1138.80s -> 1139.80s]  我倒知道
[1139.80s -> 1140.80s]  我朋友就是说
[1140.80s -> 1141.80s]  副导师的地方
[1141.80s -> 1142.80s]  我知道你们筹了多少钱
[1142.80s -> 1144.80s]  那你去他的地方得了
[1144.80s -> 1145.80s]  你再找我讲
[1146.80s -> 1147.80s]  对吧
[1147.80s -> 1148.80s]  找你打也可以
[1148.80s -> 1149.80s]  相片也一直
[1149.80s -> 1150.80s]  你们的医生
[1150.80s -> 1151.80s]  打了多少钱
[1152.80s -> 1153.80s]  就是你
[1153.80s -> 1155.80s]  旁边拿着副导师
[1155.80s -> 1156.80s]  我确定了
[1156.80s -> 1158.80s]  你相片也一直注射
[1158.80s -> 1160.80s]  这个不算贵吗
[1160.80s -> 1162.80s]  严不联合开发的新案例
[1162.80s -> 1164.80s]  严不联合开发
[1164.80s -> 1166.80s]  现在怎么开
[1172.80s -> 1173.80s]  几点了
[1174.80s -> 1176.80s]  8点45
[1176.80s -> 1177.80s]  8点45,对吧
[1177.80s -> 1179.80s]  9点45
[1180.80s -> 1181.80s]  严不联合开发
[1181.80s -> 1183.80s]  再有一个理论支撑
[1183.80s -> 1184.80s]  就像每一家设计的
[1184.80s -> 1185.80s]  理论支撑
[1185.80s -> 1186.80s]  幸福队失去
[1186.80s -> 1187.80s]  把它非常的重要
[1188.80s -> 1190.80s]  你们去看什么美学设计
[1190.80s -> 1192.80s]  我该保证看完之后有没有用
[1192.80s -> 1193.80s]  也用不上
[1193.80s -> 1194.80s]  看完之后用不上
[1194.80s -> 1195.80s]  我们的东西
[1195.80s -> 1196.80s]  看完之后你就能用
[1196.80s -> 1197.80s]  而且非常的有用
[1197.80s -> 1198.80s]  非常的适合
[1199.80s -> 1200.80s]  美丽是全方位
[1200.80s -> 1201.80s]  必须注重
[1201.80s -> 1203.80s]  珍惜为 平衡为 协调
[1203.80s -> 1205.80s]  只关注几乎
[1205.80s -> 1206.80s]  只能让你改善
[1206.80s -> 1207.80s]  只能让你改变
[1207.80s -> 1208.80s]  关注几乎
[1208.80s -> 1209.80s]  时不会让你变
[1212.80s -> 1214.80s]  一个人看起来不完美
[1214.80s -> 1216.80s]  往后都是一个方面的问题
[1216.80s -> 1218.80s]  通常办有两三个方面的问题
[1218.80s -> 1219.80s]  所以说
[1219.80s -> 1221.80s]  一个人想改善
[1221.80s -> 1222.80s]  就去做几乎
[1222.80s -> 1224.80s]  想改变就去做真情
[1224.80s -> 1225.80s]  很多人
[1225.80s -> 1226.80s]  认为
[1226.80s -> 1227.80s]  做了双眼皮
[1227.80s -> 1228.80s]  就会变成
[1228.80s -> 1229.80s]  但是做完之后
[1229.80s -> 1230.80s]  不满意
[1230.80s -> 1231.80s]  就是因为他期望值太高
[1231.80s -> 1232.80s]  他认为
[1232.80s -> 1233.80s]  双眼皮做完之后
[1233.80s -> 1234.80s]  就会变
[1234.80s -> 1235.80s]  没那么简单
[1235.80s -> 1236.80s]  双眼皮做完之后
[1236.80s -> 1237.80s]  只能让你变得更有神
[1237.80s -> 1238.80s]  而不能
[1238.80s -> 1239.80s]  彻底改变
[1239.80s -> 1240.80s]  整个人
[1241.80s -> 1243.80s]  天有三宝日月星
[1243.80s -> 1244.80s]  地有三宝
[1244.80s -> 1245.80s]  眉眼神
[1245.80s -> 1246.80s]  眉为魂
[1246.80s -> 1247.80s]  眉情故求存有情
[1247.80s -> 1249.80s]  才能睡眠变成神
[1249.80s -> 1251.80s]  大眼会让你显得有神
[1251.80s -> 1253.80s]  秀眉会让你精致被尊
[1253.80s -> 1255.80s]  眉眼必须协调一致
[1255.80s -> 1256.80s]  才能为你的面部
[1256.80s -> 1257.80s]  整体加分
[1257.80s -> 1258.80s]  对吧
[1258.80s -> 1259.80s]  就让你的眉毛
[1259.80s -> 1260.80s]  就特别的好
[1260.80s -> 1262.80s]  眉情故求存有情
[1262.80s -> 1263.80s]  就是你的优点
[1263.80s -> 1264.80s]  如果再有个双眼皮
[1264.80s -> 1265.80s]  就更棒
[1267.80s -> 1268.80s]  再有个双眼皮
[1268.80s -> 1269.80s]  就更棒
[1269.80s -> 1270.80s]  眼睛更加
[1270.80s -> 1271.80s]  更加的有情
[1271.80s -> 1273.80s]  会为你的眼神加分
[1274.80s -> 1275.80s]  惊动吗
[1277.80s -> 1279.80s]  所以说你应该很有贵气
[1279.80s -> 1280.80s]  你应该很有贵人身体
[1280.80s -> 1282.80s]  所以说看你的眼睛
[1282.80s -> 1283.80s]  看你的眼神
[1283.80s -> 1284.80s]  我就知道你有贵人身体
[1284.80s -> 1286.80s]  贵看眼睛 你看眉
[1286.80s -> 1288.80s]  所以你有贵人身体
[1288.80s -> 1289.80s]  不然这个贵人身体
[1289.80s -> 1290.80s]  可以让散发出来
[1290.80s -> 1292.80s]  你就多个双眼皮
[1292.80s -> 1293.80s]  一定会改变
[1293.80s -> 1294.80s]  这个裁瘀
[1294.80s -> 1296.80s]  裁瘀的道理
[1298.80s -> 1300.80s]  眼眉有三大秘诀
[1300.80s -> 1301.80s]  表大而有神
[1301.80s -> 1302.80s]  大而有灵
